2482	1303	Tengo que irme a dormir.	I have to go to sleep.	irme	[sound:1303.mp3]
2487	729949	Ahora, Muiriel tiene 20 años.	Now, Muiriel is 20 years old.	muiriel	[sound:729949.mp3]
2492	1306	Esto no acabará nunca.	This will never end.	acabará	[sound:1306.mp3]
2505	1316	Gano 100 € al día.	I win € 100 a day.	gano	[sound:1316.mp3]
2512	930518	Supongo que es diferente cuando lo consideras a largo plazo.	I suppose it is different when you consider it in the long term.	consideras	[sound:930518.mp3]
2515	1322	Los llamaré cuando regrese mañana.	I will call them when I return tomorrow.	regrese	[sound:1322.mp3]
2519	607886	Les dije que me mandaran otro boleto.	I told them to send me another ticket.	mandaran	[sound:607886.mp3]
2526	1328	Desafortunadamente es verdad.	Unfortunately it is true.	desafortunadamente	[sound:1328.mp3]
2528	330620	La mayoría de la gente cree que estoy loco.	Most people think I'm crazy.	loco	[sound:330620.mp3]
2534	729952	¡Ah, allí hay una mariposa!	Ah, there is a butterfly!	mariposa	[sound:729952.mp3]
2536	1334	No me sorprende.	I'm not surprised.	sorprende	[sound:1334.mp3]
2540	568121	¡¿Acaso te quieres burlar de mí?!	Do you want to make fun of me?!	burlar	[sound:568121.mp3]
2544	733051	América es un lugar encantador para vivir, si estás aquí para ganar dinero.	America is a lovely place to live, if you are here to earn money.	encantador	[sound:733051.mp3]
2553	598899	Me tomaría una eternidad explicarte todo.	I would take an eternity to explain everything.	tomaría	[sound:598899.mp3]
2555	1346	Algunas veces no puedo evitar mostrar mis sentimientos.	Sometimes I can't help showing my feelings.	mostrar	[sound:1346.mp3]
2557	733053	Eso sería algo que habría que programar.	That would be something that would have to be programmed.	programar	[sound:733053.mp3]
2566	1353	Cuando yo estaba en el instituto me levantaba a las 6 todas las mañanas.	When I was in the institute I woke up at 6 every morning.	levantaba	[sound:1353.mp3]
2570	733056	La mayoría de la gente escribe sobre su vida cotidiana.	Most people write about their daily lives.	cotidiana	[sound:733056.mp3]
2576	1359	No puedo decírselo ahora. Ya no es tan simple.	I can't tell him now. It is no longer so simple.	decírselo	[sound:1359.mp3]
2578	733057	Cada vez que encuentro algo que me gusta, es demasiado caro.	Every time I find something that I like, it's too expensive.	encuentro	[sound:733057.mp3]
2579	453023	¿Cuánto tiempo estuviste?	How long have you been?	estuviste	[sound:453023.mp3]
2581	645193	La inocencia es una cosa hermosa.	Innocence is a beautiful thing.	inocencia	[sound:645193.mp3]
2582	587249	Los humanos nunca fueron hechos para vivir eternamente.	Humans were never made to live forever.	eternamente	[sound:587249.mp3]
2598	1369	A mi profesor de física no le importa si me salto las clases.	My physics teacher does not care if classes skip.	salto	[sound:1369.mp3]
2602	930519	Después de eso, me voy, pero entonces me doy cuenta de que olvidé mi mochila.	After that, I'm leaving, but then I realize that I forgot my backpack.	olvidé	[sound:930519.mp3]
2604	733060	Puede que hiele la próxima semana.	I may freeze next week.	hiele	[sound:733060.mp3]
2606	1374	La policía te hará encontrar las balas.	The police will make you find the bullets.	balas	[sound:1374.mp3]
2615	1381	¿Querías hablarme de libertad?	Did you want to talk about freedom?	hablarme	[sound:1381.mp3]
2622	1383	Necesito hacerte una pregunta tonta.	I need to ask you a silly question.	tonta	[sound:1383.mp3]
2626	442872	Nadie sabrá.	No one will know.	sabrá	[sound:442872.mp3]
2641	1396	Tengo curiosidad.	I'm curious.	curiosidad	[sound:1396.mp3]
2642	1397	¡Felicidades!	Congratulations!	felicidades	[sound:1397.mp3]
2649	733066	Es inevitable que yo vaya a Francia algún día, sólo que no sé cuándo.	It is inevitable that I go to France someday, I just don't know when.	inevitable	[sound:733066.mp3]
2654	1403	¿Qué otras opciones tengo?	What other options do I have?	opciones	[sound:1403.mp3]
2655	733067	No tengo mucho de viajero.	I don't have much traveler.	viajero	[sound:733067.mp3]
2657	1405	Tampoco lo puedo explicar.	I can't explain it either.	explicar	[sound:1405.mp3]
2660	1406	Eso sólo muestra que no eres un robot.	That only shows that you are not a robot.	robot	[sound:1406.mp3]
2663	1407	No es algo que pueda hacer cualquiera.	It is not something that anyone can do.	pueda	[sound:1407.mp3]
2668	1412	¡No hablo francés lo suficientemente bien!	I do not speak French enough!	suficientemente	[sound:1412.mp3]
2671	1415	¿Cómo encuentras comida en el espacio?	How do you find food in space?	encuentras	[sound:1415.mp3]
2672	733071	Todos quieren conocerte. ¡Eres famoso!	Everyone wants to meet you. You are famous!	conocerte	[sound:733071.mp3]
2677	733072	¿Qué te mantiene despierto hasta tan tarde?	What keeps you awake up to so late?	mantiene	[sound:733072.mp3]
2684	607889	Mañana, alunizará.	Tomorrow, it will alunize.	alunizará	[sound:607889.mp3]
2685	1424	No hablo japonés.	I do not speak Japanese.	japonés	[sound:1424.mp3]
2687	1426	Nadie me entiende.	No one understands me.	entiende	[sound:1426.mp3]
2691	733074	Yo sólo quería revisar mis correos electrónicos.	I just wanted to check my emails.	electrónicos	[sound:733074.mp3]
2692	691329	¿Realmente necesitas preguntar para saber la respuesta?	Do you really need to ask to know the answer?	preguntar	[sound:691329.mp3]
2693	733075	¡No puedes esperar de mí que yo siempre piense en todo!	You can't expect from me that I always think about everything!	piense	[sound:733075.mp3]
2694	1430	Supongo que detrás de cada cosa que tenemos que hacer, hay algo que queremos hacer...	I guess behind everything we have to do, there is something we want to do ...	queremos	[sound:1430.mp3]
2708	729956	—¿Qué pasa? —preguntó el pequeño conejo blanco.	-What's happening? Asked the little white rabbit.	conejo	[sound:729956.mp3]
2713	1438	—¡Esto es lo que estaba buscando! —exclamó él.	"This is what I was looking for!" He exclaimed.	exclamó	[sound:1438.mp3]
2714	1439	—Esto parece muy interesante —dice Hiroshi.	"This seems very interesting," says Hiroshi.	hiroshi	[sound:1439.mp3]
2716	733076	Gracias por ayudarme. "No hay de qué."	Thanks for helping. "It doesn't matter."	ayudarme	[sound:733076.mp3]
2717	645194	Algún día correré como el viento.	Someday I'll run like the wind.	correré	[sound:645194.mp3]
2721	1443	Depende de ti decidir si vamos allí o no.	It is up to you to decide whether or not we are there.	decidir	[sound:1443.mp3]
2723	1444	Quiero un barco que me lleve lejos de aquí.	I want a ship that takes me away from here.	lleve	[sound:1444.mp3]
2729	733077	Los alemanes son muy listos.	The Germans are very ready.	listos	[sound:733077.mp3]
2730	1449	Si no comes, te mueres.	If you don't eat, you die.	mueres	[sound:1449.mp3]
2731	1450	¿Cómo se escribe "pretty"?	How is "Pretty" written?	pretty	[sound:1450.mp3]
2738	1456	He vivido más de un mes en Nagoya.	I have lived more than a month in Nagoya.	nagoya	[sound:1456.mp3]
2741	733078	Primero, voy a hacer un esquema de mi nuevo sitio de internet.	First, I'm going to make a scheme of my new website.	esquema	[sound:733078.mp3]
2743	1458	¡No fui yo, comisario!	I wasn't me, commissioner!	comisario	[sound:1458.mp3]
